imdb_id,gross,release_time,duration,out_week,first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,review_cnt,feature_clusters
tt0383010,44000000,2206,18,2223,2096,2306,110,83,3.190909091,5.75,12.5,7.888888889,3.75,9.75,8.048192771,36,19,7,52,18,81,0,0,151,83,578,182,21,56,3,1,0,14,9,83,1,0,0,11,17,0,43,11,22,4,0,0,148,81,447,203,24,170,574.549,943.725,643.544,2168.21,103.363,80.8239,97.1878,114.843,66.4434,185.007,91.0698,554.399,4.00343,12.78520325,15.80519481,0.629766667,0.911255411,0.088744589,462,1
tt0401729,73000000,2201,16,2216,2089,2218,112,2,0.75,4.25,9,2.5,0.5,0,0,15,6,1,17,1,0,0,7,37,22,1,59,8,0,4,1,0,4,3,0,0,0,0,1,0,0,17,1,0,13,5,0,30,14,1,72,17,1,246.423,1174.97,453.284,499.134,41.5401,142.15,64.3068,67.9497,43.8467,95.925,55.4545,60.4134,4.10633,11.01949054,13.75961538,0.624443109,0.895833333,0.104166667,625,0
tt0431021,49000000,2226,13,2238,2207,2305,19,67,2.210526316,6.25,6.75,1.384615385,2.75,5,0.194029851,7,1,3,2,0,0,0,1,63,17,39,16,0,1,6,0,0,10,1,5,0,1,0,1,0,0,2,0,0,0,0,1,61,16,33,19,1,5,687,4141.94,1242.26,1333.31,59.6702,229.833,87.0179,75.6603,131.117,422.222,177.902,146.237,3.77974,8.718999539,12.91705069,0.276197926,0.711981567,0.288018433,434,0
tt0443272,182000000,2236,25,2260,2223,2258,13,-2,0.846153846,7.75,9.25,8.04,0,0,0,7,34,0,21,19,0,0,0,25,85,0,23,63,0,3,0,0,3,0,0,0,0,0,2,2,0,21,19,0,0,0,0,24,84,0,29,96,0,1504.46,2976.26,2561,2561,179.456,231.841,217.061,217.061,422.025,374.915,388.207,388.207,4.56796,7.786906672,11.49736644,0.534485428,0.926761976,0.073238024,3988,2
tt0454876,125000000,2238,33,2270,2208,2304,30,34,1.233333333,5.25,7.5,3.939393939,0.5,0.25,0.147058824,9,9,0,10,1,0,0,0,46,105,8,23,15,0,0,0,0,4,5,0,0,0,0,2,0,0,10,1,0,0,0,0,42,97,6,30,27,2,2707.39,7055.85,5300.5,5332.88,117.477,295.238,223.482,222.925,590.091,961.638,811.656,806.142,4.40385,8.919923404,14.43465046,0.461820061,0.963525836,0.036474164,658,2
tt0485985,50000000,2194,21,2214,2171,2235,23,21,11.65217391,10.75,33.5,35.47619048,5,8.25,5.476190476,0,0,0,0,1,0,0,0,0,0,0,445,744,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,445,744,168,0,0,0,0,0,0,0.0337079,0.0955056,0.0723742,0.106775,0,0.0238764,0.0150044,0.0139912,0,0,0,0,4.61655,10.37109531,13.29025271,0.68106491,0.947292419,0.052707581,1387,2
tt0763831,18000000,2201,13,2213,2184,2257,17,44,0.117647059,0,2,1.076923077,2.75,0,0.068181818,6,4,0,2,2,0,0,0,1,5,13,1,3,1,0,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,1,4,13,4,5,1,89.8,189.167,139.714,268.132,23.6,20.8333,22.2857,28.5789,40.5,33.25,37.2857,40.2632,3.9037,21.71187054,28.57142857,0.543930357,0.901785714,0.098214286,112,1
tt0770802,2600000,2225,19,2243,2170,2299,55,56,1.181818182,3,9.25,7.157894737,1,0,0.25,9,6,2,16,14,2,0,0,22,21,7,67,95,7,0,0,0,32,49,2,0,0,0,0,2,0,16,13,2,13,3,0,16,15,5,37,54,9,56.896,85.5484,71.1647,101.269,8.08,10.6774,9.37349,10.7463,29.576,18.4355,24.0281,35.2799,4.41667,12.77857273,16.86363636,0.532713636,0.863636364,0.136363636,22,2
tt0790724,80000000,2242,14,2255,2218,2270,24,15,0.791666667,4.25,6.75,2.714285714,2,10,0.133333333,14,14,6,0,0,0,0,0,36,19,44,10,5,0,3,0,0,6,4,2,0,1,0,0,0,4,0,0,0,0,0,0,30,15,40,26,19,4,1877.57,1666.11,1798.01,1516.87,171.079,131.184,156.069,119.245,165.794,105.658,143.168,116.954,4.1895,7.098016936,10.73617021,0.51807166,0.920851064,0.079148936,1176,0
tt0837562,148000000,2230,22,2251,2208,2306,22,55,1.681818182,5.25,9.75,8.727272727,0,0.5,1.109090909,7,8,5,0,0,0,0,0,87,167,54,3,16,4,0,1,0,1,4,0,0,0,0,2,5,0,0,0,0,0,0,0,83,156,44,11,27,19,3889.3,7153.68,5931.5,7631.09,284.155,316.403,305.211,294.153,358.969,533.848,447.246,523.162,4.42999,10.23989214,13.44186047,0.687133921,0.974338412,0.025661588,1248,1
tt0848228,623000000,2209,23,2231,2171,2306,38,75,3.763157895,6.5,12.75,6.652173913,5.75,1.75,2.306666667,34,18,21,2,0,3,0,1,99,106,167,61,29,12,23,0,0,24,0,1,0,0,0,3,3,0,2,0,3,4,1,0,94,105,148,93,44,51,2399.4,16838,7990.43,10509.2,264.368,572.25,380.852,390.142,459.982,1268.19,783.117,889.682,4.85471,11.05618391,13.92647059,0.725226629,0.969683258,0.030316742,4421,0
tt0938330,18000000,2234,9,2242,2132,2306,102,64,7.235294118,5.75,13,5.555555556,0,3.5,2.59375,113,12,13,59,0,0,0,1,367,28,164,255,10,3,18,0,0,23,11,1,0,2,2,10,4,0,59,0,0,2,0,0,317,23,118,398,12,61,365.339,2365.26,481.21,915.846,26.8991,157.78,34.482,44.0163,73.3063,357.22,89.7555,123.674,3.18919,10.59634789,13.08450704,0.264208451,0.676056338,0.323943662,71,0
tt1024648,136000000,2232,29,2260,2196,2304,36,44,0.138888889,2.5,13,4.24137931,0,0,0.795454545,10,21,4,0,0,7,0,0,39,97,24,15,5,0,3,0,0,6,3,2,0,0,0,6,7,0,0,0,7,0,0,0,36,93,22,19,20,4,270.239,1612.07,1138.9,1164.98,24.6418,127.919,91.5,83.9511,42.2836,165.317,121.932,109.956,4.77719,7.21919736,12.12907957,0.4816652,0.954162083,0.045837917,2729,2
tt1047540,77000000,2243,22,2264,2208,2262,35,-2,2.542857143,8.5,19.5,3.636363636,0,0,0,35,2,0,2,3,0,0,0,89,49,0,71,26,0,4,0,0,5,4,0,0,0,0,0,0,0,2,3,0,0,0,0,83,43,0,111,30,0,193.881,170.363,187.185,187.185,12.3582,13.9375,12.8078,12.8078,14.199,21,16.1352,16.1352,4.40452,8.621580679,12.3772846,0.599767885,0.967362924,0.032637076,766,1
tt1071875,52000000,2198,13,2210,2168,2260,30,50,1.933333333,3.5,7.75,3.153846154,7.5,3.75,0.3,18,14,10,0,0,3,0,0,72,18,37,11,9,10,2,0,0,2,3,1,0,0,0,9,6,5,0,0,3,0,0,0,57,3,27,35,29,24,2302.2,2992.49,2486.31,3518.82,217.447,195.122,210.86,242.294,364.689,517.073,403.545,791.877,2.74016,4.417295333,6.916666667,0.224542667,0.686666667,0.313333333,301,0
tt1074638,304000000,2236,19,2254,2170,2306,66,52,5.121212121,28,27.25,13.68421053,7,3,14.44230769,78,19,7,257,127,286,0,3,188,103,496,33,9,2,0,2,0,68,39,49,0,1,0,3,0,7,200,92,250,3,0,0,177,102,483,108,27,1,3059.88,6059.59,4009.21,4212.93,155.113,202.602,167.975,166.167,351.769,331.379,345.946,288.178,4.42934,7.427431869,10.72791262,0.548362694,0.915776699,0.084223301,4120,0
tt1077368,80000000,2210,15,2224,2194,2298,16,74,0.125,3.5,6.25,2.8,3.25,6.25,0.175675676,7,11,4,0,0,3,0,0,18,14,39,16,17,5,0,0,0,1,2,1,0,0,0,0,1,0,0,0,3,0,0,1,16,11,35,24,28,11,3683.76,3876.44,3777.69,6042.69,462.146,301.641,383.9,348.955,996.902,634.282,820.125,780.769,3.52991,11.36194411,14.15579357,0.604717429,0.890944499,0.109055501,1028,1
tt1142977,35000000,2231,22,2252,2173,2302,58,50,1.017241379,4.5,11.75,5.727272727,1,1.5,0.44,15,13,0,2,1,2,0,5,58,110,29,44,2,1,0,0,0,2,5,1,0,0,0,1,0,0,2,1,2,23,0,0,49,104,28,47,16,1,3131.48,8700.63,5970.18,6284.21,76.5564,250.88,165.361,155.649,454.121,653.848,561.516,570.365,3.91554,9.785018596,12.43508772,0.533624211,0.873684211,0.126315789,285,1
tt1183919,1400000,2207,18,2224,2198,2242,9,18,0.333333333,4.5,5,5.055555556,5.75,4.5,0.222222222,5,3,0,0,3,0,0,0,35,85,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34,83,45,6,5,0,1152.29,4114.64,2922.24,4440.27,110.78,147.157,132.231,168.565,349.976,1452.29,1062.88,1344.54,4.95,25.00753846,27.53846154,0.772576923,0.923076923,0.076923077,13,2
tt1195478,29000000,2208,8,2215,2188,2304,20,89,0.55,2.75,7.75,3.75,0.75,0.75,0.348314607,11,5,10,0,1,1,0,1,8,7,20,33,17,6,0,0,0,2,1,1,0,1,0,4,2,1,0,0,1,5,0,0,6,7,19,36,20,14,86.0377,172.267,117.205,174.342,8.86792,10.7667,9.55422,10.8917,33.6226,14.0333,26.5422,24.4083,3.51707,16.87445842,19.76237624,0.606958416,0.876237624,0.123762376,202,1
tt1217209,237000000,2216,31,2246,2125,2306,91,60,0.516483516,5.5,7.5,2.741935484,3.75,2.25,0.666666667,20,4,4,1,0,2,0,2,59,68,48,16,12,10,1,1,0,2,3,2,0,0,1,5,2,1,1,0,2,8,3,0,57,65,45,25,12,14,1273.88,9690.64,4966.53,7093.86,72.6566,473.157,254.95,261.177,233.071,886.747,530.084,598.544,4.42803,11.91842368,14.38877481,0.709003901,0.939767283,0.060232717,1464,0
tt1222815,29000000,2207,16,2222,2155,2228,52,6,0.115384615,2.25,4.25,2.3125,3.75,0.25,0,8,5,0,0,0,0,0,3,9,20,9,15,11,5,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,5,5,5,7,16,7,19,12,3,88.625,177.216,128.313,139.271,8.34375,20,14.2239,14.3529,39,77.7297,56.2836,53.2941,4.29737,16.01256741,20.31962025,0.65633038,0.949367089,0.050632911,317,2
tt1226240,1600000,2235,20,2254,2229,2301,6,47,0,2.25,9,5.3,0,0,0.021276596,5,8,0,23,48,1,0,0,5,10,0,12,40,0,0,0,0,1,0,0,0,1,0,2,3,0,23,48,1,0,0,0,1,9,0,18,45,0,46.4889,57.8208,54.4437,55.0526,9.95556,6.20755,7.3245,7.32895,9.33333,5.27358,6.48344,6.44079,4.54545,10.08282727,15.63636364,0.363945455,0.909090909,0.090909091,11,2
tt1232200,37000000,2215,7,2221,2198,2297,17,76,2.235294118,8.25,9.75,2.571428571,0.75,3.25,0.789473684,24,2,11,9,0,0,0,2,58,13,47,11,3,18,6,0,0,12,0,1,0,0,0,6,0,6,9,0,0,2,0,0,42,13,45,39,5,24,268.945,2563.24,555.651,1558.39,28.6364,138.588,38.9921,70.7843,49.8091,77.0588,53.2937,63.7059,3.31698,7.440050233,10.57209302,0.371753953,0.772093023,0.227906977,215,1
tt1232829,138000000,2202,16,2217,2182,2303,20,86,0.4,7.25,14.25,6.125,1.5,0,0.976744186,31,20,7,0,3,1,0,1,32,42,78,27,32,4,3,1,0,4,2,1,0,0,0,14,10,3,0,3,1,4,0,0,30,40,62,42,43,23,194.628,2520.77,891.858,4126.73,25.734,112.847,49.108,163.11,55.7234,89.6939,61.3636,1044.1,4.40233,13.30694194,16.76671035,0.657377851,0.933158585,0.066841415,763,1
tt1234719,45000000,2238,14,2251,2221,2255,17,4,1.882352941,5.75,18,4,6,0,0,9,8,5,10,3,2,0,0,66,29,15,42,14,1,0,2,1,8,6,1,0,0,0,0,0,0,10,3,2,0,0,0,51,25,15,58,22,6,1055.99,1164.16,1046.68,1081.52,146.74,67.8824,126.643,114.406,83.8819,81.2745,78.2749,83.2512,3.78748,6.092955378,9.229083665,0.426776892,0.846613546,0.153386454,503,0
tt1258972,16000000,2235,8,2242,2144,2304,91,62,0.296703297,6.25,16,3.25,1.75,4,0.209677419,21,4,6,3,0,1,0,0,60,8,25,32,14,4,0,0,0,14,2,1,0,1,0,0,0,0,1,0,0,0,0,0,50,6,25,51,17,10,990.75,1378.79,1057.27,1005.8,86.5776,80.5417,85.5429,76.5281,163.638,105.542,153.679,137.056,3.26923,4.946963019,7.226415094,0.250223019,0.698113208,0.301886792,265,0
tt1259521,42000000,2206,13,2218,2068,2306,138,88,0.137681159,6.25,9.5,3.923076923,2.25,6.5,0.863636364,19,17,15,6,1,1,0,1,24,31,89,22,2,5,11,0,0,20,22,5,0,0,1,2,4,4,0,0,0,0,0,1,20,10,83,39,15,18,82.9146,494.118,216.085,678.676,16.0976,59.9216,31.5615,170.934,21.4268,57.9608,33.2154,68.8443,3.52331,3.472923292,5.22591944,0.17459282,0.630472855,0.369527145,573,0
tt1276104,66000000,2230,15,2244,2203,2303,27,59,2.518518519,4.5,9,7.666666667,1.75,0.5,0.13559322,8,13,3,2,0,0,0,0,88,88,9,24,14,5,0,0,0,4,3,0,0,0,0,3,8,1,2,0,0,0,0,0,82,84,7,31,20,9,989.557,2506.51,1664.35,1639.21,33.9754,88.2887,54.3366,56.0315,58.7049,103.536,80.9561,77.0748,4.07326,7.121705556,10.23258004,0.457066761,0.86252354,0.13747646,1067,0
tt1276419,1500000,2236,26,2261,2204,2298,32,37,0.25,1.75,4,3.730769231,0.5,1,0.135135135,0,4,1,0,36,4,0,0,19,34,1,12,23,5,0,0,0,2,1,0,0,0,0,0,0,0,0,36,4,0,1,0,13,29,1,16,30,6,31.8387,57.7423,51.4688,60.518,2.45161,3.07217,2.92188,3.45324,9.87097,4.14433,5.53125,6.22302,4.61111,10.30398889,13.11111111,0.6556,0.944444444,0.055555556,18,2
tt1277953,216000000,2214,20,2233,2121,2306,93,73,0.451612903,2.25,9.5,4.35,1.5,0.75,0.671232877,15,20,7,2,1,1,0,0,49,51,44,23,15,6,0,0,0,3,2,1,0,0,0,0,3,1,2,1,1,0,0,0,45,49,42,39,32,13,1699.75,5729.38,3510.79,5087.36,142.865,225.961,183.051,240.919,365.494,799.221,547.167,670.111,4.46567,14.05701554,17.63140496,0.735090248,0.980165289,0.019834711,606,1
tt1298649,34000000,2221,13,2233,2171,2238,50,5,0.16,1,2,3.923076923,5.25,1.5,0,5,8,2,2,2,0,0,0,7,37,24,6,3,0,0,1,1,2,2,3,0,0,0,2,0,0,0,2,0,0,0,0,7,35,22,9,12,2,164.35,166.354,165.765,264.337,18.3,19.2917,19,20.8469,63.8,24.5833,36.1176,32.602,3.14085,9.296870821,11.98784195,0.418440729,0.799392097,0.200607903,329,1
tt1307068,6600000,2216,3,2218,2196,2256,20,38,1.8,10.5,14.5,16,2,0.25,0.5,8,7,1,18,15,7,0,0,55,9,17,50,16,3,5,1,0,7,1,2,0,0,0,0,0,0,18,15,7,2,0,0,43,9,12,66,23,7,23.3897,98.6667,38.0828,68.1321,4.25735,19.5714,6.48521,11.6038,1.82353,12.1905,4.23077,6.90094,3.56552,9.919134426,12.82786885,0.531440984,0.852459016,0.147540984,122,1
tt1327194,60000000,2207,13,2219,2187,2305,20,86,0.8,2.25,20,3.923076923,3.75,5,0.558139535,36,18,10,8,0,7,0,1,31,24,60,27,9,5,3,0,0,6,1,1,0,0,0,3,1,0,5,0,7,0,0,1,23,17,53,68,32,21,1357.68,2610.22,1663.64,5968.51,93.6286,105.392,95.8645,165.967,134.067,222.294,157.168,495.649,4.34921,17.93219306,21.37152778,0.716788542,0.958333333,0.041666667,290,2
tt1336608,39000000,2215,10,2224,2163,2296,52,72,0.980769231,7.5,15.5,4.4,1.25,5.5,0.291666667,31,9,8,24,1,0,0,0,55,32,34,26,1,5,7,1,1,10,3,3,0,3,1,3,4,0,24,1,0,0,0,0,51,29,31,52,6,14,209.881,1217.23,446.904,850.983,30.2657,121.841,51.8128,64.7787,47.4196,170.273,76.3262,106.519,3.89045,10.84301875,12.71366279,0.689356105,0.912790698,0.087209302,689,1
tt1343727,13000000,2229,7,2235,2212,2281,17,46,2.470588235,5.25,10,3.571428571,0,3.75,0.52173913,7,2,1,1,0,0,0,0,62,19,38,27,4,0,6,0,0,7,0,2,0,0,0,1,2,0,1,0,0,0,0,0,61,19,35,33,4,2,573.204,2181.79,877.189,1164.41,73.3786,133.292,84.7008,103.826,99.6893,195.958,117.882,128.515,4.13333,10.81156496,14.66666667,0.475991453,0.846153846,0.153846154,117,0
tt1345836,448000000,2220,21,2240,2168,2292,52,52,0.423076923,5,9.75,4.476190476,2.25,0.75,0.615384615,12,8,5,2,2,4,0,0,46,69,32,21,14,3,0,1,0,4,10,0,0,1,0,5,3,0,2,2,4,0,0,0,43,52,29,26,27,11,10754.2,23632.8,17371.5,20088.7,589.074,863.532,735.03,756.237,2711.74,3112.61,2834.37,2793.4,4.64298,8.30016446,11.16396164,0.598859867,0.920693471,0.079306529,5429,0
tt1366365,3700000,2227,5,2231,2226,2295,1,64,0,0,0.25,2.2,0.5,1.25,0.890625,0,0,5,0,6,9,0,0,1,5,47,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,6,9,0,0,0,1,4,45,0,1,8,18,45.2,39.8889,31.4737,2,5.2,4.66667,3.77632,0,4.5,3.22222,1.97368,2.56627,4.375952439,7.536585366,0.160406098,0.634146341,0.365853659,82,0
tt1371111,27000000,2234,14,2247,2221,2304,13,57,0.846153846,4.5,11.5,4.214285714,0.75,0,0.701754386,15,9,11,0,0,0,0,0,49,48,31,9,1,1,2,1,0,8,6,2,0,0,0,11,7,0,0,0,0,0,0,0,41,44,29,15,2,12,912.36,1860.37,1329.77,1705.62,57.48,136.407,92.2313,99.1977,304.44,288.271,297.321,320.384,3.60151,7.883040707,10.27617801,0.454358639,0.812827225,0.187172775,766,2
tt1386703,59000000,2222,11,2232,2167,2303,55,71,0.181818182,4.75,7.75,3.181818182,5.25,8.25,0.549295775,9,4,10,2,0,0,0,0,36,29,64,13,2,19,0,0,0,6,3,1,0,0,0,2,2,6,0,0,0,0,0,0,31,26,61,21,4,25,1421.87,3672.21,2235.82,1712.37,110.667,166.941,131.021,88.984,214.967,243.912,225.436,160.846,3.52103,9.443799027,11.94890511,0.514779075,0.851581509,0.148418491,822,0
tt1392170,408000000,2203,25,2227,2124,2306,79,79,2.430379747,3.25,6,6.48,4.25,4.75,7.53164557,15,19,52,10,0,15,0,0,92,129,536,112,6,26,0,8,2,0,10,8,0,2,1,1,3,26,10,0,15,0,0,0,89,114,503,127,34,79,4509.54,20859.6,10589.3,30306.6,401.865,1200.29,696.853,846.384,475.354,1292.15,771.885,1823.05,4.39577,8.847864064,11.28480204,0.593250208,0.882662835,0.117337165,6265,2
tt1397280,140000000,2231,21,2251,2163,2306,68,55,0.367647059,3.75,6.75,2.666666667,0,0.5,0.145454545,13,17,4,2,3,0,0,0,27,9,6,25,27,0,0,0,0,9,1,0,0,0,0,0,0,0,2,3,0,0,0,0,16,7,4,40,45,6,4996.78,4660.11,4843.5,5822.29,346.94,181.643,271.683,299.06,366.179,484.768,420.171,442.293,4.04242,7.669574299,11.38831065,0.490883827,0.899919936,0.100080064,1249,0
tt1397514,104000000,2197,20,2216,2184,2294,13,78,0.384615385,2.5,12.5,2.95,0.25,0,0.141025641,11,17,1,1,1,1,0,0,46,28,9,7,12,1,0,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,1,0,42,17,7,22,33,4,192.662,768.136,437.854,565.426,23,62.5932,39.9837,46.2279,28.1538,70.7119,46.8293,51.9559,4.14583,18.0919397,22.09737828,0.708787266,0.962546816,0.037453184,267,1
tt1405365,3100000,2222,20,2241,2202,2290,20,49,0.05,0.5,2.75,2.1,2.5,10.25,0.244897959,1,8,3,0,2,0,0,0,2,13,50,10,19,10,1,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,13,47,11,26,14,18,89.8293,68.5185,131.429,0.5,5.68293,4.07407,6.01681,2,10.8049,8.42593,6.91597,3.91667,12.70997429,19.17142857,0.564928571,0.971428571,0.028571429,35,1
tt1409024,179000000,2212,17,2228,2189,2291,23,63,0.434782609,1,25.75,1.823529412,4,14.25,1.015873016,6,1,9,60,14,37,0,0,22,5,44,29,11,43,0,0,4,4,1,5,0,2,0,3,1,2,60,14,37,0,4,0,17,3,38,31,8,55,17.2479,92.7419,33.0608,73.2211,3.94872,20.8065,7.47973,11.9684,2.71795,2.58065,2.68919,2.62456,4.21626,12.73919781,15.76642336,0.689885949,0.954379562,0.045620438,548,1
